Total Cup Points,Mean Altitude in Meters
91,2075
90,2075
90,1700
89,2000
89,2075
89,
89,
89,1635
88,1635
88,1823
88,1905
88,1872
88,1943
88,610
88,1635
88,2080
87,1500
87,
87,1450
87,1850
87,2019
87,1300
87,1320
87,2112
87,
87,1250
87,
87,1950
87,1400
87,1200
87,
87,
86,1300
86,1300
86,1775
86,1800
86,
86,
86,
86,1941
86,1300
86,12
86,12
86,1000
86,1754
86,1250
86,
86,1200
86,1860
86,1650
86,1750
86,427
86,
86,1650
86,1800
86,1600
86,1900
86,1524
86,1417
86,
86,
86,1700
86,1500
86,1350
86,
86,1680
86,1900
86,1900
86,1600
86,1731
85,1900
85,1950
85,
85,1250
85,1400
85,1700
85,1770
85,1300
85,1300
85,1600
85,1200
85,
85,
85,
85,1550
85,1550
85,1325
85,1400
85,
85,2560
85,1700
85,
85,2136
85,
85,
85,
85,1800
85,
85,1900
85,1300
85,1
85,1580
85,1100
85,1400
85,
85,1326
85,
85,1775
85,800
85,1620
85,1775
85,1200
85,1200
85,1000
85,
85,350
85,1650
85,
85,1750
85,1750
85,
85,1800
85,1450
85,1200
85,925
85,1350
85,1200
85,170
85,1150
85,1600
85,1750
85,1900
85,1750
85,1200
85,
85,1000
85,1550
85,2000
85,1311
85,1524
85,1200
85,1775
85,
85,1750
85,1754
85,1500
85,
85,1800
85,1524
85,1219
85,1550
85,1750
85,
85,1750
85,1575
85,1800
85,1300
85,1100
85,1200
85,1750
85,1680
85,1700
85,1800
85,1100
85,1311
85,2000
85,1350
85,1500
85,
85,
85,
84,1300
84,1400
84,
84,1775
84,1200
84,
84,900
84,
84,1800
84,1500
84,
84,1500
84,
84,442
84,1800
84,1700
84,1275
84,1050
84,1494
84,1387
84,1000
84,1200
84,2560
84,1500
84,1099
84,1400
84,1775
84,1775
84,1800
84,442
84,1620
84,1600
84,1219
84,1700
84,
84,1450
84,1170
84,1400
84,1700
84,1700
84,
84,1700
84,1117
84,1565
84,3280
84,1775
84,1000
84,1150
84,1850
84,1607
84,1400
84,1530
84,
84,251
84,1039
84,1311
84,1500
84,1750
84,
84,1600
84,
84,442
84,968
84,
84,1775
84,1550
84,
84,1480
84,1800
84,
84,1800
84,1500
84,1707
84,1600
84,1219
84,1219
84,1480
84,1450
84,1775
84,1550
84,1260
84,1700
84,1200
84,
84,1650
84,1700
84,
84,890
84,1300
84,1350
84,934
84,1200
84,442
84,
84,
84,
84,
84,1775
84,950
84,1550
84,900
84,1500
84,1400
84,2527
84,
84,1850
84,1500
84,1200
84,1
84,525
84,1677
84,1200
84,1300
84,1219
84,1260
84,800
84,1750
84,1311
84,1218
84,1300
84,1250
84,1500
84,
84,
84,1800
84,890
84,442
84,750
84,
84,1650
84,442
84,1400
84,853
84,1775
84,1550
84,1750
